SegID_data_1min,SegID_data_5min,SegID_data_15min,SegID_data_60min
166539337,166581376.0,166581376.0,166539337
166540049,166581436.0,166581436.0,166540049
166540089,166581994.0,166581994.0,166540089
166542125,166582600.0,166582600.0,166542125
166542865,166583288.0,166583288.0,166542865
166544081,166583711.0,166583711.0,166544081
166546137,166585690.0,166585690.0,166546137
166547528,166586594.0,166586594.0,166547528
166547586,166586832.0,166586832.0,166547586
166548960,166586957.0,166586957.0,166548960
166549647,166588364.0,166588364.0,166549647
166549648,166591104.0,166591104.0,166549648
166555524,166592195.0,166592195.0,166555524
166555549,166592498.0,166592498.0,166555549
166556546,166592722.0,166592722.0,166556546
166556800,166594384.0,166594384.0,166556800
166557892,166597216.0,166597216.0,166557892
166559309,166598084.0,166598084.0,166559309
166559640,166600296.0,166600296.0,166559640
166561248,166600719.0,166600719.0,166561248
166561312,166600864.0,166600864.0,166561312
166561634,166601822.0,166601822.0,166561634
166561647,166602120.0,166602120.0,166561647
166562076,166602953.0,166602953.0,166562076
166563724,166605241.0,166605241.0,166563724
166564817,166605797.0,166605797.0,166564817
166564818,166606744.0,166606744.0,166564818
166565249,166607001.0,166607001.0,166565249
166567365,166607002.0,166607002.0,166567365
166568736,166610710.0,166610710.0,166568736
166568778,166610765.0,166610765.0,166568778
166570359,166611142.0,166611142.0,166570359
166570415,166611209.0,166611209.0,166570415
166570445,166611283.0,166611283.0,166570445
166573073,166611836.0,166611836.0,166573073
166573082,166611838.0,166611838.0,166573082
166573084,166611840.0,166611840.0,166573084
166573772,166612124.0,166612124.0,166573772
166573862,166612125.0,166612125.0,166573862
166575419,166612294.0,166612294.0,166575419
166575575,166612728.0,166612728.0,166575575
166575795,166613999.0,166613999.0,166575795
166575996,166614074.0,166614074.0,166575996
166576000,166615478.0,166615478.0,166576000
166576264,166615507.0,166615507.0,166576264
166577376,166616498.0,166616498.0,166577376
166577765,166618420.0,166618420.0,166577765
166578345,166620073.0,166620073.0,166578345
166578849,166621204.0,166621204.0,166578849
166578993,166622439.0,166622439.0,166578993
166580212,166622704.0,166622704.0,166580212
166580282,166625438.0,166625438.0,166580282
166581376,166626108.0,166626108.0,166581376
166581436,166629332.0,166629332.0,166581436
166581994,166629843.0,166629843.0,166581994
166582600,166630124.0,166630124.0,166582600
166583288,166631348.0,166631348.0,166583288
166583711,166633461.0,166633461.0,166583711
166585690,166638405.0,166638405.0,166585690
166586594,166638464.0,166638464.0,166586594
166586832,166639092.0,166639092.0,166586832
166586957,166642479.0,166642479.0,166586957
166588364,166644062.0,166644062.0,166588364
166591104,166644260.0,166644260.0,166591104
166592195,166644535.0,166644535.0,166592195
166592498,166646650.0,166646650.0,166592498
166592722,166648916.0,166648916.0,166592722
166594384,166649017.0,166649017.0,166594384
166597216,166650060.0,166650060.0,166597216
166598084,166650210.0,166650210.0,166598084
166600296,166651296.0,166651296.0,166600296
166600719,166651332.0,166651332.0,166600719
166600864,166652537.0,166652537.0,166600864
166601822,166653341.0,166653341.0,166601822
166602120,166653412.0,166653412.0,166602120
166602953,166654069.0,166654069.0,166602953
166605241,166654344.0,166654344.0,166605241
166605797,166654506.0,166654506.0,166605797
166605820,166656931.0,166656931.0,166605820
166606744,166660573.0,166660573.0,166606744
166607001,166660574.0,166660574.0,166607001
166607002,166661630.0,166661630.0,166607002
166607114,166667169.0,166667169.0,166607114
166610710,166667433.0,166667433.0,166610710
166610765,166668535.0,166668535.0,166610765
166611142,166669465.0,166669465.0,166611142
166611209,166669915.0,166669915.0,166611209
166611283,166671385.0,166671385.0,166611283
